date,bank_rate,cpi_annual
2000-01-01,5.5,0.8
2001-01-01,6.0,0.9
2002-01-01,4.0,1.6
2003-01-01,4.0,1.4
2004-01-01,3.75,1.3
2005-01-01,4.75,1.9
2006-01-01,4.5,2.1
2007-01-01,5.25,2.3
2008-01-01,5.5,3.6
2009-01-01,1.5,2.2
2010-01-01,0.5,3.3
2011-01-01,0.5,4.5
2012-01-01,0.5,2.8
2013-01-01,0.5,2.6
2014-01-01,0.5,1.5
2015-01-01,0.5,0.0
2016-01-01,0.5,0.7
2017-01-01,0.25,2.7
2018-01-01,0.5,2.5
2019-01-01,0.75,1.8
2020-01-01,0.75,1.3
2020-04-01,0.1,0.8
2021-01-01,0.1,0.7
2021-07-01,0.1,2.5
2022-01-01,0.25,5.5
2022-07-01,1.25,10.1
2022-10-01,2.25,11.1
2023-01-01,3.5,10.1
2023-07-01,5.25,6.8
2024-01-01,5.25,4.0
2024-07-01,5.0,2.2
2024-12-01,4.75,2.5
2025-01-01,4.5,3.0
